C:\Bydon (piton)\PP_Lab_2\dataset\2900.jpg, dataset\2900.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2883.jpg, dataset\2883.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3484.jpg, dataset\3484.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\548.jpg, dataset\548.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9322.jpg, dataset\9322.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6241.jpg, dataset\6241.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\163.jpg, dataset\163.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3167.jpg, dataset\3167.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5478.jpg, dataset\5478.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7938.jpg, dataset\7938.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1360.jpg, dataset\1360.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5688.jpg, dataset\5688.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\721.jpg, dataset\721.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2989.jpg, dataset\2989.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5455.jpg, dataset\5455.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6822.jpg, dataset\6822.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6372.jpg, dataset\6372.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5350.jpg, dataset\5350.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8232.jpg, dataset\8232.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5684.jpg, dataset\5684.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6606.jpg, dataset\6606.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4818.jpg, dataset\4818.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8110.jpg, dataset\8110.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3203.jpg, dataset\3203.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2300.jpg, dataset\2300.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2775.jpg, dataset\2775.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2939.jpg, dataset\2939.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1308.jpg, dataset\1308.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2373.jpg, dataset\2373.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5633.jpg, dataset\5633.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1227.jpg, dataset\1227.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1017.jpg, dataset\1017.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6933.jpg, dataset\6933.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\178.jpg, dataset\178.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7332.jpg, dataset\7332.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8263.jpg, dataset\8263.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5129.jpg, dataset\5129.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2253.jpg, dataset\2253.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9854.jpg, dataset\9854.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5321.jpg, dataset\5321.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9772.jpg, dataset\9772.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9065.jpg, dataset\9065.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1216.jpg, dataset\1216.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3755.jpg, dataset\3755.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4609.jpg, dataset\4609.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4931.jpg, dataset\4931.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\925.jpg, dataset\925.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4749.jpg, dataset\4749.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2360.jpg, dataset\2360.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8522.jpg, dataset\8522.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5097.jpg, dataset\5097.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4524.jpg, dataset\4524.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9882.jpg, dataset\9882.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9737.jpg, dataset\9737.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\770.jpg, dataset\770.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2090.jpg, dataset\2090.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\46.jpg, dataset\46.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7545.jpg, dataset\7545.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3660.jpg, dataset\3660.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7352.jpg, dataset\7352.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3276.jpg, dataset\3276.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3109.jpg, dataset\3109.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1550.jpg, dataset\1550.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7896.jpg, dataset\7896.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8050.jpg, dataset\8050.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6983.jpg, dataset\6983.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1474.jpg, dataset\1474.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9742.jpg, dataset\9742.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5415.jpg, dataset\5415.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7121.jpg, dataset\7121.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9954.jpg, dataset\9954.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9495.jpg, dataset\9495.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3303.jpg, dataset\3303.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8437.jpg, dataset\8437.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7313.jpg, dataset\7313.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\358.jpg, dataset\358.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5537.jpg, dataset\5537.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\246.jpg, dataset\246.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\817.jpg, dataset\817.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5627.jpg, dataset\5627.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2534.jpg, dataset\2534.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\24.jpg, dataset\24.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1396.jpg, dataset\1396.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5937.jpg, dataset\5937.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1197.jpg, dataset\1197.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7198.jpg, dataset\7198.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\777.jpg, dataset\777.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9126.jpg, dataset\9126.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4065.jpg, dataset\4065.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9095.jpg, dataset\9095.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2593.jpg, dataset\2593.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4298.jpg, dataset\4298.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8652.jpg, dataset\8652.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6748.jpg, dataset\6748.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3112.jpg, dataset\3112.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5186.jpg, dataset\5186.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6937.jpg, dataset\6937.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4984.jpg, dataset\4984.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2462.jpg, dataset\2462.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1385.jpg, dataset\1385.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4928.jpg, dataset\4928.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5954.jpg, dataset\5954.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1143.jpg, dataset\1143.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2069.jpg, dataset\2069.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1032.jpg, dataset\1032.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\293.jpg, dataset\293.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5649.jpg, dataset\5649.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4444.jpg, dataset\4444.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4525.jpg, dataset\4525.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3256.jpg, dataset\3256.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7084.jpg, dataset\7084.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3024.jpg, dataset\3024.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3180.jpg, dataset\3180.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8688.jpg, dataset\8688.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1224.jpg, dataset\1224.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2247.jpg, dataset\2247.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8043.jpg, dataset\8043.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\935.jpg, dataset\935.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\938.jpg, dataset\938.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9774.jpg, dataset\9774.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4206.jpg, dataset\4206.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1361.jpg, dataset\1361.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7651.jpg, dataset\7651.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2322.jpg, dataset\2322.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7343.jpg, dataset\7343.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7920.jpg, dataset\7920.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7344.jpg, dataset\7344.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1230.jpg, dataset\1230.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5458.jpg, dataset\5458.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8879.jpg, dataset\8879.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3932.jpg, dataset\3932.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2047.jpg, dataset\2047.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1036.jpg, dataset\1036.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8021.jpg, dataset\8021.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1891.jpg, dataset\1891.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\878.jpg, dataset\878.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1897.jpg, dataset\1897.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3699.jpg, dataset\3699.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7220.jpg, dataset\7220.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7984.jpg, dataset\7984.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2891.jpg, dataset\2891.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7086.jpg, dataset\7086.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\428.jpg, dataset\428.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9376.jpg, dataset\9376.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\865.jpg, dataset\865.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1215.jpg, dataset\1215.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1725.jpg, dataset\1725.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6427.jpg, dataset\6427.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3836.jpg, dataset\3836.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6956.jpg, dataset\6956.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8393.jpg, dataset\8393.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1263.jpg, dataset\1263.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2344.jpg, dataset\2344.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6190.jpg, dataset\6190.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8421.jpg, dataset\8421.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9199.jpg, dataset\9199.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4877.jpg, dataset\4877.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7973.jpg, dataset\7973.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9931.jpg, dataset\9931.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1131.jpg, dataset\1131.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4830.jpg, dataset\4830.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4061.jpg, dataset\4061.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9537.jpg, dataset\9537.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3753.jpg, dataset\3753.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1358.jpg, dataset\1358.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1591.jpg, dataset\1591.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2734.jpg, dataset\2734.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7537.jpg, dataset\7537.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1300.jpg, dataset\1300.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7234.jpg, dataset\7234.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9453.jpg, dataset\9453.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7317.jpg, dataset\7317.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\914.jpg, dataset\914.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4773.jpg, dataset\4773.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6144.jpg, dataset\6144.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6405.jpg, dataset\6405.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1299.jpg, dataset\1299.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6916.jpg, dataset\6916.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1129.jpg, dataset\1129.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4330.jpg, dataset\4330.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\812.jpg, dataset\812.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2709.jpg, dataset\2709.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6315.jpg, dataset\6315.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9303.jpg, dataset\9303.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6178.jpg, dataset\6178.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3593.jpg, dataset\3593.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1734.jpg, dataset\1734.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2211.jpg, dataset\2211.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7604.jpg, dataset\7604.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7458.jpg, dataset\7458.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6442.jpg, dataset\6442.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3209.jpg, dataset\3209.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7046.jpg, dataset\7046.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\948.jpg, dataset\948.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1936.jpg, dataset\1936.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5839.jpg, dataset\5839.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1449.jpg, dataset\1449.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\625.jpg, dataset\625.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9428.jpg, dataset\9428.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7311.jpg, dataset\7311.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9687.jpg, dataset\9687.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8019.jpg, dataset\8019.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2961.jpg, dataset\2961.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9286.jpg, dataset\9286.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1595.jpg, dataset\1595.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1747.jpg, dataset\1747.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8.jpg, dataset\8.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8015.jpg, dataset\8015.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3645.jpg, dataset\3645.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7692.jpg, dataset\7692.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\568.jpg, dataset\568.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1982.jpg, dataset\1982.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2385.jpg, dataset\2385.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3654.jpg, dataset\3654.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5638.jpg, dataset\5638.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7171.jpg, dataset\7171.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3227.jpg, dataset\3227.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7163.jpg, dataset\7163.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2991.jpg, dataset\2991.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5192.jpg, dataset\5192.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3802.jpg, dataset\3802.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6111.jpg, dataset\6111.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6069.jpg, dataset\6069.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\326.jpg, dataset\326.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3731.jpg, dataset\3731.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\662.jpg, dataset\662.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2895.jpg, dataset\2895.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7465.jpg, dataset\7465.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2977.jpg, dataset\2977.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2815.jpg, dataset\2815.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4463.jpg, dataset\4463.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6568.jpg, dataset\6568.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8011.jpg, dataset\8011.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6259.jpg, dataset\6259.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\209.jpg, dataset\209.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3326.jpg, dataset\3326.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1686.jpg, dataset\1686.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9406.jpg, dataset\9406.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4589.jpg, dataset\4589.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9990.jpg, dataset\9990.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4704.jpg, dataset\4704.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9723.jpg, dataset\9723.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8455.jpg, dataset\8455.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2584.jpg, dataset\2584.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2087.jpg, dataset\2087.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3807.jpg, dataset\3807.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7839.jpg, dataset\7839.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6138.jpg, dataset\6138.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1696.jpg, dataset\1696.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1958.jpg, dataset\1958.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3616.jpg, dataset\3616.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4031.jpg, dataset\4031.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1564.jpg, dataset\1564.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3222.jpg, dataset\3222.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2154.jpg, dataset\2154.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5641.jpg, dataset\5641.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3689.jpg, dataset\3689.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3139.jpg, dataset\3139.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4831.jpg, dataset\4831.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5131.jpg, dataset\5131.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7432.jpg, dataset\7432.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9870.jpg, dataset\9870.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9923.jpg, dataset\9923.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6790.jpg, dataset\6790.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5655.jpg, dataset\5655.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8676.jpg, dataset\8676.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7376.jpg, dataset\7376.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1319.jpg, dataset\1319.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\884.jpg, dataset\884.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8156.jpg, dataset\8156.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4691.jpg, dataset\4691.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5601.jpg, dataset\5601.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1533.jpg, dataset\1533.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3778.jpg, dataset\3778.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2613.jpg, dataset\2613.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9897.jpg, dataset\9897.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\737.jpg, dataset\737.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4237.jpg, dataset\4237.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6683.jpg, dataset\6683.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1523.jpg, dataset\1523.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8402.jpg, dataset\8402.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9015.jpg, dataset\9015.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6203.jpg, dataset\6203.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8122.jpg, dataset\8122.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9598.jpg, dataset\9598.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7142.jpg, dataset\7142.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7201.jpg, dataset\7201.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6820.jpg, dataset\6820.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1693.jpg, dataset\1693.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2236.jpg, dataset\2236.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2757.jpg, dataset\2757.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3266.jpg, dataset\3266.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8740.jpg, dataset\8740.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4917.jpg, dataset\4917.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\703.jpg, dataset\703.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5738.jpg, dataset\5738.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2512.jpg, dataset\2512.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\126.jpg, dataset\126.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1744.jpg, dataset\1744.jpg, Cat
