C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0000.jpg, dataset\Cats\0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0507.jpg, dataset\Cats\0507.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0508.jpg, dataset\Cats\0508.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0509.jpg, dataset\Cats\0509.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0510.jpg, dataset\Cats\0510.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0511.jpg, dataset\Cats\0511.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0512.jpg, dataset\Cats\0512.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0513.jpg, dataset\Cats\0513.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0514.jpg, dataset\Cats\0514.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0515.jpg, dataset\Cats\0515.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0516.jpg, dataset\Cats\0516.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0517.jpg, dataset\Cats\0517.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0518.jpg, dataset\Cats\0518.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0519.jpg, dataset\Cats\0519.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0520.jpg, dataset\Cats\0520.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0521.jpg, dataset\Cats\0521.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0522.jpg, dataset\Cats\0522.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0523.jpg, dataset\Cats\0523.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0524.jpg, dataset\Cats\0524.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0525.jpg, dataset\Cats\0525.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0526.jpg, dataset\Cats\0526.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0527.jpg, dataset\Cats\0527.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0528.jpg, dataset\Cats\0528.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0529.jpg, dataset\Cats\0529.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0530.jpg, dataset\Cats\0530.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0531.jpg, dataset\Cats\0531.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0532.jpg, dataset\Cats\0532.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0533.jpg, dataset\Cats\0533.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0534.jpg, dataset\Cats\0534.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0535.jpg, dataset\Cats\0535.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0536.jpg, dataset\Cats\0536.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0537.jpg, dataset\Cats\0537.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0538.jpg, dataset\Cats\0538.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0539.jpg, dataset\Cats\0539.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0540.jpg, dataset\Cats\0540.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0541.jpg, dataset\Cats\0541.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0542.jpg, dataset\Cats\0542.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0543.jpg, dataset\Cats\0543.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0544.jpg, dataset\Cats\0544.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0545.jpg, dataset\Cats\0545.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0546.jpg, dataset\Cats\0546.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0547.jpg, dataset\Cats\0547.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0548.jpg, dataset\Cats\0548.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0549.jpg, dataset\Cats\0549.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0550.jpg, dataset\Cats\0550.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0551.jpg, dataset\Cats\0551.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0552.jpg, dataset\Cats\0552.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0553.jpg, dataset\Cats\0553.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0554.jpg, dataset\Cats\0554.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0555.jpg, dataset\Cats\0555.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0556.jpg, dataset\Cats\0556.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0557.jpg, dataset\Cats\0557.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0558.jpg, dataset\Cats\0558.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0559.jpg, dataset\Cats\0559.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0560.jpg, dataset\Cats\0560.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0561.jpg, dataset\Cats\0561.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0562.jpg, dataset\Cats\0562.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0563.jpg, dataset\Cats\0563.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0564.jpg, dataset\Cats\0564.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0565.jpg, dataset\Cats\0565.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0566.jpg, dataset\Cats\0566.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0567.jpg, dataset\Cats\0567.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0568.jpg, dataset\Cats\0568.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0569.jpg, dataset\Cats\0569.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0570.jpg, dataset\Cats\0570.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0571.jpg, dataset\Cats\0571.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0572.jpg, dataset\Cats\0572.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0573.jpg, dataset\Cats\0573.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0574.jpg, dataset\Cats\0574.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0575.jpg, dataset\Cats\0575.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0576.jpg, dataset\Cats\0576.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0577.jpg, dataset\Cats\0577.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0578.jpg, dataset\Cats\0578.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0579.jpg, dataset\Cats\0579.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0580.jpg, dataset\Cats\0580.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0581.jpg, dataset\Cats\0581.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0582.jpg, dataset\Cats\0582.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0583.jpg, dataset\Cats\0583.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0584.jpg, dataset\Cats\0584.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0585.jpg, dataset\Cats\0585.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0586.jpg, dataset\Cats\0586.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0587.jpg, dataset\Cats\0587.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0588.jpg, dataset\Cats\0588.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0589.jpg, dataset\Cats\0589.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0590.jpg, dataset\Cats\0590.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0591.jpg, dataset\Cats\0591.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0592.jpg, dataset\Cats\0592.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0593.jpg, dataset\Cats\0593.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0594.jpg, dataset\Cats\0594.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0595.jpg, dataset\Cats\0595.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0596.jpg, dataset\Cats\0596.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0597.jpg, dataset\Cats\0597.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0598.jpg, dataset\Cats\0598.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0599.jpg, dataset\Cats\0599.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0600.jpg, dataset\Cats\0600.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0601.jpg, dataset\Cats\0601.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0602.jpg, dataset\Cats\0602.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0603.jpg, dataset\Cats\0603.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0604.jpg, dataset\Cats\0604.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0605.jpg, dataset\Cats\0605.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0606.jpg, dataset\Cats\0606.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0607.jpg, dataset\Cats\0607.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0608.jpg, dataset\Cats\0608.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0609.jpg, dataset\Cats\0609.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0610.jpg, dataset\Cats\0610.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0611.jpg, dataset\Cats\0611.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0612.jpg, dataset\Cats\0612.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0613.jpg, dataset\Cats\0613.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0614.jpg, dataset\Cats\0614.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0615.jpg, dataset\Cats\0615.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0616.jpg, dataset\Cats\0616.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0617.jpg, dataset\Cats\0617.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0618.jpg, dataset\Cats\0618.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0619.jpg, dataset\Cats\0619.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0620.jpg, dataset\Cats\0620.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0621.jpg, dataset\Cats\0621.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0622.jpg, dataset\Cats\0622.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0623.jpg, dataset\Cats\0623.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0624.jpg, dataset\Cats\0624.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0625.jpg, dataset\Cats\0625.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0626.jpg, dataset\Cats\0626.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0627.jpg, dataset\Cats\0627.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0628.jpg, dataset\Cats\0628.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0629.jpg, dataset\Cats\0629.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0630.jpg, dataset\Cats\0630.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0631.jpg, dataset\Cats\0631.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0632.jpg, dataset\Cats\0632.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0633.jpg, dataset\Cats\0633.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0634.jpg, dataset\Cats\0634.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0635.jpg, dataset\Cats\0635.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0636.jpg, dataset\Cats\0636.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0637.jpg, dataset\Cats\0637.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0638.jpg, dataset\Cats\0638.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0639.jpg, dataset\Cats\0639.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0640.jpg, dataset\Cats\0640.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0641.jpg, dataset\Cats\0641.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0642.jpg, dataset\Cats\0642.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0643.jpg, dataset\Cats\0643.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0644.jpg, dataset\Cats\0644.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0645.jpg, dataset\Cats\0645.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0646.jpg, dataset\Cats\0646.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0647.jpg, dataset\Cats\0647.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0648.jpg, dataset\Cats\0648.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0649.jpg, dataset\Cats\0649.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0650.jpg, dataset\Cats\0650.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0651.jpg, dataset\Cats\0651.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0652.jpg, dataset\Cats\0652.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0653.jpg, dataset\Cats\0653.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0654.jpg, dataset\Cats\0654.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0655.jpg, dataset\Cats\0655.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0656.jpg, dataset\Cats\0656.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0657.jpg, dataset\Cats\0657.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0658.jpg, dataset\Cats\0658.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0659.jpg, dataset\Cats\0659.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0660.jpg, dataset\Cats\0660.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0661.jpg, dataset\Cats\0661.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0662.jpg, dataset\Cats\0662.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0663.jpg, dataset\Cats\0663.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0664.jpg, dataset\Cats\0664.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0665.jpg, dataset\Cats\0665.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0666.jpg, dataset\Cats\0666.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0667.jpg, dataset\Cats\0667.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0668.jpg, dataset\Cats\0668.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0669.jpg, dataset\Cats\0669.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0670.jpg, dataset\Cats\0670.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0671.jpg, dataset\Cats\0671.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0672.jpg, dataset\Cats\0672.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0673.jpg, dataset\Cats\0673.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0674.jpg, dataset\Cats\0674.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0675.jpg, dataset\Cats\0675.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0676.jpg, dataset\Cats\0676.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0677.jpg, dataset\Cats\0677.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0678.jpg, dataset\Cats\0678.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0679.jpg, dataset\Cats\0679.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0680.jpg, dataset\Cats\0680.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0681.jpg, dataset\Cats\0681.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0682.jpg, dataset\Cats\0682.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0683.jpg, dataset\Cats\0683.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0684.jpg, dataset\Cats\0684.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0685.jpg, dataset\Cats\0685.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0686.jpg, dataset\Cats\0686.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0687.jpg, dataset\Cats\0687.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0688.jpg, dataset\Cats\0688.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0689.jpg, dataset\Cats\0689.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0690.jpg, dataset\Cats\0690.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0691.jpg, dataset\Cats\0691.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0692.jpg, dataset\Cats\0692.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0693.jpg, dataset\Cats\0693.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0694.jpg, dataset\Cats\0694.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0695.jpg, dataset\Cats\0695.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0696.jpg, dataset\Cats\0696.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0697.jpg, dataset\Cats\0697.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0698.jpg, dataset\Cats\0698.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0699.jpg, dataset\Cats\0699.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0700.jpg, dataset\Cats\0700.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0701.jpg, dataset\Cats\0701.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0702.jpg, dataset\Cats\0702.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0703.jpg, dataset\Cats\0703.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0704.jpg, dataset\Cats\0704.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0705.jpg, dataset\Cats\0705.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0706.jpg, dataset\Cats\0706.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0707.jpg, dataset\Cats\0707.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0708.jpg, dataset\Cats\0708.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0709.jpg, dataset\Cats\0709.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0710.jpg, dataset\Cats\0710.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0711.jpg, dataset\Cats\0711.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0712.jpg, dataset\Cats\0712.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0713.jpg, dataset\Cats\0713.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0714.jpg, dataset\Cats\0714.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0715.jpg, dataset\Cats\0715.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0716.jpg, dataset\Cats\0716.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0717.jpg, dataset\Cats\0717.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0718.jpg, dataset\Cats\0718.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0719.jpg, dataset\Cats\0719.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0720.jpg, dataset\Cats\0720.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0721.jpg, dataset\Cats\0721.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0722.jpg, dataset\Cats\0722.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0723.jpg, dataset\Cats\0723.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0724.jpg, dataset\Cats\0724.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0725.jpg, dataset\Cats\0725.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0726.jpg, dataset\Cats\0726.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0727.jpg, dataset\Cats\0727.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0728.jpg, dataset\Cats\0728.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0729.jpg, dataset\Cats\0729.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0730.jpg, dataset\Cats\0730.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0731.jpg, dataset\Cats\0731.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0732.jpg, dataset\Cats\0732.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0733.jpg, dataset\Cats\0733.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0734.jpg, dataset\Cats\0734.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0735.jpg, dataset\Cats\0735.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0736.jpg, dataset\Cats\0736.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0737.jpg, dataset\Cats\0737.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0738.jpg, dataset\Cats\0738.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0739.jpg, dataset\Cats\0739.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0740.jpg, dataset\Cats\0740.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0741.jpg, dataset\Cats\0741.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0742.jpg, dataset\Cats\0742.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0743.jpg, dataset\Cats\0743.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0744.jpg, dataset\Cats\0744.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0745.jpg, dataset\Cats\0745.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0746.jpg, dataset\Cats\0746.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0747.jpg, dataset\Cats\0747.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0748.jpg, dataset\Cats\0748.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0749.jpg, dataset\Cats\0749.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0750.jpg, dataset\Cats\0750.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0751.jpg, dataset\Cats\0751.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0752.jpg, dataset\Cats\0752.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0753.jpg, dataset\Cats\0753.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0754.jpg, dataset\Cats\0754.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0755.jpg, dataset\Cats\0755.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0756.jpg, dataset\Cats\0756.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0757.jpg, dataset\Cats\0757.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0758.jpg, dataset\Cats\0758.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0759.jpg, dataset\Cats\0759.jpg, Cat
